step,tokens_seen,T,tau,prompt_kl,prompt_max_abs_logit_diff,teacher_nll,student_nll,teacher_ppl,student_ppl,heldout_ppl_relative_delta,tail_kl_beta1,tail_teacher_nll,tail_student_nll,tail_windows,seconds
0,0,1,0.1,0.0,0.0,4.536258856455485,4.536258856455485,93.34094422603822,93.34094422603822,0.0,0.0,3.054532192647457,3.054532192647457,64,4.082108974456787
196,1003520,1,0.1,4.7112457650655415e-06,0.21047210693359375,4.536258856455485,4.536332130432129,93.34094422603822,93.34778393878875,7.327666124707498e-05,1.077274667693473e-05,3.054532192647457,3.05444622784853,64,1.2877473831176758
391,2001920,1,0.1,4.337979135016212e-06,0.51959228515625,4.536258856455485,4.537074724833171,93.34094422603822,93.41712922501533,0.0008162012888215432,7.164023372752126e-06,3.054532192647457,3.054571695625782,64,1.2939236164093018
586,3000320,1,0.1,3.65806340596464e-06,0.1703643798828125,4.536258856455485,4.537729899088542,93.34094422603822,93.47835377727938,0.0014721251470137936,9.324969894919377e-06,3.054532192647457,3.0546699464321136,64,4.10430645942688
782,4003840,1,0.1,2.4629496238048887e-06,0.1529083251953125,4.536258856455485,4.535250027974446,93.34094422603822,93.24682670525591,-0.0010083197846636977,4.141138703062097e-06,3.054532192647457,3.054485507309437,64,1.2812745571136475
977,5002240,1,0.1,3.7252659694786416e-06,0.218475341796875,4.536258856455485,4.5356645584106445,93.34094422603822,93.28548836566799,-0.0005941214847359617,9.129790726092324e-06,3.054532192647457,3.054561920464039,64,1.298285722732544
1172,6000640,1,0.1,1.9700889879459282e-06,0.1263885498046875,4.536258856455485,4.536716938018799,93.34094422603822,93.38371178645805,0.0004581864986952039,5.836082280552546e-06,3.054532192647457,3.054510049521923,64,4.328309059143066
1368,7004160,1,0.1,9.984379175875802e-06,0.30133056640625,4.536258856455485,4.5366644859313965,93.34094422603822,93.37881374430286,0.00040571175467152016,2.08410646109769e-05,3.054532192647457,3.054258741438389,64,1.2904396057128906
1563,8002560,2,0.2,5.83504743190133e-06,0.2527313232421875,4.536258856455485,4.535789171854655,93.34094422603822,93.29711371597189,-0.0004695743162848964,1.3163411807681769e-05,3.054532192647457,3.054582290351391,64,4.123440742492676
1758,9000960,2,0.2,2.9226945116533898e-05,0.5284271240234375,4.536258856455485,4.532004515329997,93.34094422603822,92.94468352010816,-0.004245304236160928,6.572976053575985e-05,3.054532192647457,3.0545835122466087,64,1.2981650829315186
1954,10004480,2,0.2,5.056710506323725e-06,0.20892333984375,4.536258856455485,4.536538283030192,93.34094422603822,93.36702981069628,0.0002794656179488889,9.727008716708951e-06,3.054532192647457,3.0544771403074265,64,1.2931482791900635
2149,11002880,2,0.2,1.5645811799913645e-05,0.7443313598632812,4.536258856455485,4.533995469411214,93.34094422603822,93.12991645103278,-0.0022608275152477594,3.7294948356247914e-05,3.054532192647457,3.054312013089657,64,4.136112213134766
2344,12001280,2,0.2,8.325961061927956e-06,0.6179275512695312,4.536258856455485,4.531217575073242,93.34094422603822,92.8715703786051,-0.005028595449993131,1.4320693082936486e-05,3.054532192647457,3.0543414875864983,64,1.292637586593628
2540,13004800,2,0.2,3.946170636481838e-06,0.32263946533203125,4.536258856455485,4.5343812306722,93.34094422603822,93.16584929534255,-0.0018758641467312264,8.5360641293164e-06,3.054532192647457,3.0544999092817307,64,4.172663688659668
2735,14003200,2,0.2,1.845686165324878e-05,0.3818206787109375,4.536258856455485,4.533123811086019,93.34094422603822,93.04877435326358,-0.0031301362461805143,2.1962224366234295e-05,3.054532192647457,3.054662697017193,64,1.2915749549865723
2930,15001600,4,0.4,7.093557542248163e-06,0.39434814453125,4.536258856455485,4.5351847012837725,93.34094422603822,93.24073539761606,-0.001073578473552662,1.672116957252001e-05,3.054532192647457,3.054521307349205,64,1.2975974082946777
3125,16000000,4,0.4,8.437446922471281e-06,0.38507080078125,4.536258856455485,4.534260908762614,93.34094422603822,93.15464007681794,-0.001995953123948641,1.9253738798852282e-05,3.054532192647457,3.054496869444847,64,4.131201267242432
3321,17003520,4,0.4,5.8375212574901525e-06,0.2183685302734375,4.536258856455485,4.535976568857829,93.34094422603822,93.31459895377644,-0.0002822477582611521,1.1591323527682107e-05,3.054532192647457,3.0545810386538506,64,1.2983794212341309
3516,18001920,4,0.4,4.799805083166575e-06,0.373199462890625,4.536258856455485,4.535965283711751,93.34094422603822,93.31354589083803,-0.0002935296554729538,1.0371758477845106e-05,3.054532192647457,3.054492063820362,64,4.111002445220947
3711,19000320,4,0.4,1.2266941666894127e-05,0.74310302734375,4.536258856455485,4.537205219268799,93.34094422603822,93.42932043599683,0.0009468107558950262,2.0185714475928762e-05,3.054532192647457,3.054696671664715,64,1.2895922660827637
3907,20003840,4,0.4,5.595781658485066e-06,0.36035919189453125,4.536258856455485,4.535425504048665,93.34094422603822,93.26319072804475,-0.0008330052651404399,1.1315831798697218e-05,3.054532192647457,3.0546122565865517,64,1.2855720520019531
4102,21002240,4,0.4,9.285669875680469e-06,0.5033493041992188,4.536258856455485,4.535604317982991,93.34094422603822,93.27986897721388,-0.0006543243089167332,1.7459818366205582e-05,3.054532192647457,3.054493136703968,64,4.086890697479248
4297,22000640,8,0.8,6.646636848017806e-06,0.2356719970703125,4.536258856455485,4.535807927449544,93.34094422603822,93.2988635752508,-0.0004508273527371616,1.3951812718460133e-05,3.054532192647457,3.054453544318676,64,1.2890417575836182
4493,23004160,8,0.8,1.0403541637060698e-05,0.765716552734375,4.536258856455485,4.537304560343425,93.34094422603822,93.43860226611636,0.0010462508268788422,1.737131088930255e-05,3.054532192647457,3.054570935666561,64,1.285390853881836
4688,24002560,8,0.8,2.088582368742209e-05,1.1646041870117188,4.536258856455485,4.536824703216553,93.34094422603822,93.39377584289349,0.0005660068825459153,4.0442332476686715e-05,3.054532192647457,3.0546332374215126,64,4.107744932174683
