step,tokens_seen,micro_batch,T,tau,relax_step,energy,error_grad_norm
0,5120,0,1,0.1,0,0.0,2.376912107138196e-06
0,5120,0,1,0.1,1,-2.3832512852095533e-08,1.5754899322928395e-06
1,10240,0,1,0.1,0,1.9872200596182665e-07,5.299545227899216e-05
1,10240,0,1,0.1,1,1.2528962756164219e-08,5.1583581807790324e-05
2,15360,0,1,0.1,0,3.0019273253856227e-05,0.0011014144401997328
2,15360,0,1,0.1,1,2.989262793562375e-05,0.0010019495384767652
3,20480,0,1,0.1,0,5.0402319175191224e-05,0.00165922986343503
3,20480,0,1,0.1,1,5.0220474804518744e-05,0.0014945875154808164
4,25600,0,1,0.1,0,1.3132406820659526e-05,0.0007812926196493208
4,25600,0,1,0.1,1,1.2978256563656032e-05,0.0006803353899158537
5,30720,0,1,0.1,0,3.228317655157298e-05,0.0014542116550728679
5,30720,0,1,0.1,1,3.200811261194758e-05,0.0013077958719804883
6,35840,0,1,0.1,0,1.5471399819944054e-05,0.0007613451452925801
6,35840,0,1,0.1,1,1.525179686723277e-05,0.0006773044005967677
7,40960,0,1,0.1,0,1.4425628251046874e-05,0.0013633178314194083
7,40960,0,1,0.1,1,1.4279302376962733e-05,0.0011877346551045775
8,46080,0,1,0.1,0,2.93957200483419e-05,0.005740312393754721
8,46080,0,1,0.1,1,2.654449599504005e-05,0.003655958455055952
9,51200,0,1,0.1,0,4.76076384074986e-05,0.0018746713176369667
9,51200,0,1,0.1,1,4.729448482976295e-05,0.001677862019278109
10,56320,0,1,0.1,0,5.5258613429032266e-05,0.002069079549983144
10,56320,0,1,0.1,1,5.516847886610776e-05,0.0018516565905883908
11,61440,0,1,0.1,0,2.6692141545936465e-05,0.0017558359540998936
11,61440,0,1,0.1,1,2.664581552380696e-05,0.0015527736395597458
12,66560,0,1,0.1,0,6.045138434274122e-05,0.0072416928596794605
12,66560,0,1,0.1,1,5.567509651882574e-05,0.006136531941592693
13,71680,0,1,0.1,0,4.723878009826876e-05,0.001389498240314424
13,71680,0,1,0.1,1,4.692994843935594e-05,0.0012599838664755225
14,76800,0,1,0.1,0,3.0833172786515206e-05,0.0009857548866420984
14,76800,0,1,0.1,1,3.0683630029670894e-05,0.0008973020012490451
15,81920,0,1,0.1,0,2.7934556783293374e-05,0.002300744643434882
15,81920,0,1,0.1,1,2.738817966019269e-05,0.001995265018194914
16,87040,0,1,0.1,0,5.879101445316337e-05,0.0018385403091087937
16,87040,0,1,0.1,1,5.849724402651191e-05,0.0016468975227326155
17,92160,0,1,0.1,0,3.0422776035265997e-05,0.006268880795687437
17,92160,0,1,0.1,1,2.6773928766488098e-05,0.004817016422748566
18,97280,0,1,0.1,0,4.2641640902729705e-05,0.004938378930091858
18,97280,0,1,0.1,1,4.039645500597544e-05,0.0041879527270793915
19,102400,0,1,0.1,0,5.13936611241661e-05,0.0032841856591403484
19,102400,0,1,0.1,1,5.060589319327846e-05,0.002894663019105792
20,107520,0,1,0.1,0,0.00029912852915003896,0.013279070146381855
20,107520,0,1,0.1,1,0.00028322223806753755,0.010832644067704678
21,112640,0,1,0.1,0,8.471820183331147e-05,0.002019739942625165
21,112640,0,1,0.1,1,8.415400225203484e-05,0.0018204841762781143
22,117760,0,1,0.1,0,2.756433059403207e-05,0.001010252977721393
22,117760,0,1,0.1,1,2.7267384211882018e-05,0.0009144243085756898
23,122880,0,1,0.1,0,5.09497185703367e-05,0.002076094737276435
23,122880,0,1,0.1,1,5.061682895757258e-05,0.001859268406406045
24,128000,0,1,0.1,0,7.556516356999055e-05,0.004160217009484768
24,128000,0,1,0.1,1,7.406888471450657e-05,0.003629126586019993
25,133120,0,1,0.1,0,4.7690027713542804e-05,0.0026406580582261086
25,133120,0,1,0.1,1,4.700802674051374e-05,0.002295567188411951
26,138240,0,1,0.1,0,9.819801925914362e-05,0.0025993071030825377
26,138240,0,1,0.1,1,9.761033288668841e-05,0.002330128103494644
27,143360,0,1,0.1,0,1.5171275663306005e-05,0.0008503958233632147
27,143360,0,1,0.1,1,1.4854333130642772e-05,0.0007647507591173053
28,148480,0,1,0.1,0,1.2333702215983067e-05,0.001325142104178667
28,148480,0,1,0.1,1,1.2138607417000458e-05,0.0010724751045927405
29,153600,0,1,0.1,0,1.1230355084990151e-05,0.0003000252181664109
29,153600,0,1,0.1,1,1.1035229363187682e-05,0.000279836414847523
30,158720,0,1,0.1,0,6.415069219656289e-05,0.0014726679073646665
30,158720,0,1,0.1,1,6.373562064254656e-05,0.001340542221441865
31,163840,0,1,0.1,0,3.3986871130764484e-05,0.001212667440995574
31,163840,0,1,0.1,1,3.380862472113222e-05,0.00109162088483572
32,168960,0,1,0.1,0,2.1287507479428314e-05,0.0011939476244151592
32,168960,0,1,0.1,1,2.1104986444697715e-05,0.0010696516837924719
33,174080,0,1,0.1,0,3.3264626836171374e-05,0.0015190367121249437
33,174080,0,1,0.1,1,3.3173197152791545e-05,0.001325255841948092
34,179200,0,1,0.1,0,2.594935904198792e-05,0.0010545558761805296
34,179200,0,1,0.1,1,2.5989205823861994e-05,0.0009570851689204574
35,184320,0,1,0.1,0,2.555402352300007e-05,0.0009844921296462417
35,184320,0,1,0.1,1,2.5410523448954336e-05,0.0008913618512451649
36,189440,0,1,0.1,0,8.615339174866676e-05,0.0030041616410017014
36,189440,0,1,0.1,1,8.530810009688139e-05,0.0026678398717194796
37,194560,0,1,0.1,0,5.184634210309014e-05,0.005703826434910297
37,194560,0,1,0.1,1,4.881999848294072e-05,0.004785681609064341
38,199680,0,1,0.1,0,1.697650077403523e-05,0.0005888495943509042
38,199680,0,1,0.1,1,1.6981797671178356e-05,0.000541317684110254
39,204800,0,1,0.1,0,1.8033340893452987e-05,0.0020377696491777897
39,204800,0,1,0.1,1,1.7518357708468102e-05,0.0016720943385735154
40,209920,0,1,0.1,0,5.085110751679167e-05,0.0013762626331299543
40,209920,0,1,0.1,1,5.0863051001215354e-05,0.001248496351763606
41,215040,0,1,0.1,0,0.0004234255466144532,0.019247613847255707
41,215040,0,1,0.1,1,0.0003890075022354722,0.01665906049311161
42,220160,0,1,0.1,0,1.9661853002617136e-05,0.002321073319762945
42,220160,0,1,0.1,1,1.9119303033221513e-05,0.0019318965496495366
43,225280,0,1,0.1,0,2.724313162616454e-05,0.0033303082454949617
43,225280,0,1,0.1,1,2.637848592712544e-05,0.002884163288399577
44,230400,0,1,0.1,0,2.691509507712908e-05,0.0014976273523643613
44,230400,0,1,0.1,1,2.683013917703647e-05,0.001340256305411458
45,235520,0,1,0.1,0,4.050214192830026e-05,0.0013489928096532822
45,235520,0,1,0.1,1,4.044723027618602e-05,0.0012178097385913134
46,240640,0,1,0.1,0,4.8247038648696616e-05,0.0019096873002126813
46,240640,0,1,0.1,1,4.787745638168417e-05,0.001711013144813478
47,245760,0,1,0.1,0,2.1339074010029435e-05,0.0009981375187635422
47,245760,0,1,0.1,1,2.129757558577694e-05,0.0008826987468637526
48,250880,0,1,0.1,0,3.193710290361196e-05,0.0016450918046757579
48,250880,0,1,0.1,1,3.161686981911771e-05,0.0014503931161016226
49,256000,0,1,0.1,0,4.04232632718049e-05,0.0013327995548024774
49,256000,0,1,0.1,1,4.0306535083800554e-05,0.0012000866699963808
50,261120,0,1,0.1,0,2.1178455426706932e-05,0.0014600122813135386
50,261120,0,1,0.1,1,2.0930752725689672e-05,0.0012720066588371992
51,266240,0,1,0.1,0,2.7804802812170237e-05,0.0014416148187592626
51,266240,0,1,0.1,1,2.780613795039244e-05,0.0012942004250362515
52,271360,0,1,0.1,0,4.621492917067371e-05,0.0013634373899549246
52,271360,0,1,0.1,1,4.613816781784408e-05,0.0012319564120844007
53,276480,0,1,0.1,0,4.893793447990902e-05,0.004040264990180731
53,276480,0,1,0.1,1,4.746804916067049e-05,0.003346779150888324
54,281600,0,1,0.1,0,0.0005769515410065651,0.025649938732385635
54,281600,0,1,0.1,1,0.0005176563281565905,0.020701054483652115
55,286720,0,1,0.1,0,3.6065481253899634e-05,0.000930257432628423
55,286720,0,1,0.1,1,3.6005138099426404e-05,0.0008536651148460805
